NSPIS Agency,NSPIS,Model 1 Detail,Latitude,Longitude,NSPIS Street Address,Place,Postcode,Opening hours
Alfred Health - Melbourne Sexual Health Centre,1146,Fixed Site,-37.803141,144.963776,580 Swanston Street,CARLTON,3053,"M, Tu, W, F 9am-4:30pm, Th 9am-7pm, Sat 9am-12noon"
Amcal Max - Glen Iris,1401,Pharmacy,-37.844892,145.054357,"Shop 8, Stockland Tooronga, Cnr Tooronga & Toorak Roads",GLEN IRIS,3146,M-W 8.30am-6pm; T-F 8.30am-9pm; Sat 8.30am-5.30pm; Sun 8.30am-4pm
Amcal Max - Glen Waverley,1726,Pharmacy,-37.879098,145.165614,"Shop 103, Centro, The Glen, 235 Springvale Road",GLEN WAVERLEY,3150,Mon - Wed 9am - 5:30pm; Thur - Fri 9am - 9pm; Sat 9am - 5pm; Sun 10am - 5pm
Amcal Pharmacy - Bants,1485,Pharmacy,-38.355933,144.905011,1045 Point Nepean Road,ROSEBUD,3939,M-F 9am-7pm; Sat 9am-3pm; Sun & Public Hols 10am-2pm (Closed Christmas Day and Good Friday)
Amcal Pharmacy - Black Rock,1382,Pharmacy,-37.975195,145.016433,6 Bluff Road,BLACK ROCK,3193,M-Sun 9am-9pm
Amcal Pharmacy - Brian Hancocks Stawell,1509,Pharmacy,-37.056389,142.780809,104-106 Main Street,STAWELL,3380,M-F 9am-6pm; Sat 9am-12.30pm; Sun & Public Holidays 10.30am-12.30pm (Closed Christmas Day)
Amcal Pharmacy - Cohuna,1562,Pharmacy,-35.809246,144.221544,63-67 King George Street,COHUNA,3568,M-F 9am-6pm; Sat 9am-12.30pm
Amcal Pharmacy - Cowes,1525,Pharmacy,-38.448843,145.238718,24 Thompson Avenue,COWES,3922,M-F 8.30am-6pm; Sat 8.30am-5.30pm; Sun & Public Holidays 9am-5.30pm (Closed Christmas Day)
Amcal Pharmacy - Dennis Ham,1547,Pharmacy,-38.383297,142.520197,"Shop 14, Gateway Plaza, 154 Raglan Parade",WARRNAMBOOL,3280,M-Th 9am-6pm; Fri 9am-7pm; Sat 9am-5pm; Sun & public hols 10am-4pm
Amcal Pharmacy - Emily Roberts,1560,Pharmacy,-36.764908,144.297856,9 Lowndes Street,KENNINGTON,3550,"M-F, 9am-6pm; Sat 9am-12noon"
Amcal Pharmacy - Glenhuntly,1451,Pharmacy,-37.889401,145.043219,1179-1181 Glenhuntly Road,GLEN HUNTLY,3163,M-F 9am-8pm; Sat 9am-5pm; Sun 10am-2pm
Amcal Pharmacy - Heyfield,1594,Pharmacy,-37.980768,146.786324,16 George Street,HEYFIELD,3858,M-F 9am-5:30pm; Sat 9am-1pm
Amcal Pharmacy - Kapadia (Glenroy),1438,Pharmacy,-37.704594,144.915539,793 Pascoe Vale Road,GLENROY,3046,M-Sun 9am-9pm
Amcal Pharmacy - Kennedys,1517,Pharmacy,-37.248581,144.453129,97 Mollison Street,KYNETON,3444,M-F 8.30am-6pm; Sat 8.30am-1pm; alternate Sun 11am-1pm
Amcal Pharmacy - Lakes Riviera,1583,Pharmacy,-37.878463,147.994246,20-22 Myer Street,LAKES ENTRANCE,3909,M-F 8:30am-6pm; Sat 9am-2pm; Sun 10am-1pm
Amcal Pharmacy - Lowes (Werribee),1374,Pharmacy,-37.901447,144.661573,69-71 Watton Street,WERRIBEE,3030,M-F 9am-8pm; Sat/Sun 9am-6pm
Amcal Pharmacy - Maffra,1591,Pharmacy,-37.967767,146.977149,110 Johnston Street,MAFFRA,3860,M-F 9am-6pm; Sat 9am-1pm; Sun 10am-12pm
Amcal Pharmacy - North Balwyn,1362,Pharmacy,-37.792603,145.071555,81 Doncaster Road,BALWYN NORTH,3104,M - F 8.45am - 6.00pm; Sat 8.45 - 5.00pm; Sun 9.30am - 1.00pm
Amcal Pharmacy - Ocean Grove,1619,Pharmacy,-38.268056,144.523805,76A The Terrace,OCEAN GROVE,3226,M-F 9am-5:30pm; Sat 9am-5pm; Sun 10am-2pm
Amcal Pharmacy - Ringwood Square Pharmacy,1419,Pharmacy,-37.816794,145.220885,"Shop 18, Centro Ringwood Shopping Centre, Cnr Maroondah Highway & New Street",RINGWOOD,3134,M-F 9am-6pm; Sat 9am-5pm; Sun 10am-5pm
Amcal Pharmacy - Sandringham,1337,Pharmacy,-37.951511,145.004249,95 Station Street,SANDRINGHAM,3191,Monday to Saturday 9am - 7pm
Amcal Pharmacy - Seaview Pharmacy (Beaumaris),1418,Pharmacy,-37.978859,145.04639,330 Balcombe Road,BEAUMARIS,3193,M-F 8.30am-6pm; Sat 8.30am-1pm
Amcal Pharmacy - Thompsons (Eltham),1493,Pharmacy,-37.714041,145.148664,962-964 Main Road,ELTHAM,3095,7 days 9am-9pm; public holidays vary
Amcal Pharmacy - Thompsons (Lower Plenty),1447,Pharmacy,-37.727148,145.112858,97 Main Road,LOWER PLENTY,3093,M-F 9am-6pm; Sat 9am-3pm
Amcal Pharmacy - Warragul,1587,Pharmacy,-38.161675,145.930824,"Shop 4, Centrepoint Arcade, Palmerston Street",WARRAGUL,3820,M-F 9am-5:30pm; Sat 9am-12pm
Amcal Pharmacy - Wattle Park,1544,Pharmacy,-37.8374,145.11091,1123 Riversdale Road,SURREY HILLS,3127,M-F 9am-9pm; Sat & Sun 9am-7pm
Anglicare - Werribee Family Services,1012,Fixed Site,-37.898274,144.661048,2 Market Road,WERRIBEE,3030,M-W 9am-5pm; Th-F 9am-8pm
Ascot Vale Pharmacy,1748,Pharmacy,-37.777634,144.914988,67-69 Union Road,ASCOT VALE,3032,24 hours
Ashbys Pharmacy - Caulfield Plaza,1450,Pharmacy,-37.876873,145.042584,"Shop 10-11, Caulfield Plaza, 860 Dandenong Road",CAULFIELD EAST,3145,M-F 9am-6pm; Sat 9am-1pm
Aspendale Pharmacy,1379,Pharmacy,-38.027126,145.102582,141 Station Street,ASPENDALE,3195,M-F 9am-6pm; Sat 9am-12.30pm
Auburn Pharmacy,1677,Pharmacy,-37.823703,145.044656,621 Burwood Road,HAWTHORN,3122,Mon-Fri 9am-6pm Sat 9am-1pm
Avoca Gold Chemist,1660,Pharmacy,-37.089452,143.473597,107 High Street,AVOCA,3467,Mond-Fri 9am-5pm Not weekends or public holidays
Baileys Pharmacy,1443,Pharmacy,-37.953152,145.06297,35 Bernard Street,CHELTENHAM,3192,M-F 9am-6pm; Sat 9am-12.30pm
Bairnsdale Regional Health Service,1014,Fixed Site,-37.829995,147.608682,"Community Health, Ross Street",BAIRNSDALE,3875,Community Health Centre: M-F 8:30am-5pm; Emergency Department: M-F 5pm-8:30am; Sa-Su 24/7
Ballarat CH - Victoria Street,1767,Fixed Site,-37.562786,143.867508,28 Victoria Street,BALLARAT CENTRAL,3350,Mon - Fri 8:30am - 5pm
Ballarat CHC - Ballarat,1016,Fixed Site,-37.553281,143.771822,"12 Lilburne Street, Lucas",LUCAS,3350,At the Centre during normal hours of operation
Ballarat CHC - Sebastopol,1015,Fixed Site,-37.592625,143.838559,260 Vickers Street,SEBASTOPOL,3356,"9:00 am - 5:00 pm, Monday to Friday."
Ballarat CHC - Smythesdale The Well,1731,Fixed Site,-37.644241,143.686283,19 Heales Street,SMYTHESDALE,3351,Mon - Thur 8:30am - 5pm; Fri 9am - 5pm
Ballarat CHC - Wendouree,1017,Fixed Site,-37.536858,143.821052,10 Learmonth Road,WENDOUREE,3355,"9:00 am - 5:00 pm, Monday to Friday."
Banyule CH - Greensborough,1018,Fixed Site,-37.705153,145.106063,25 Grimshaw St,GREENSBOROUGH,3088,"8:30 am - 5:00 pm, Monday to Friday"
Banyule CH - Heidelberg,1019,Fixed Site,-37.739304,145.040846,21 Alamein Road,HEIDELBERG WEST,3081,"8:00 am – 5:30 pm, Monday to Friday"
Barwon Heads Pharmacy,1501,Pharmacy,-38.280711,144.491617,55 Hitchcock Avenue,BARWON HEADS,3227,M-F 9am-6pm; Sat 9am-1pm
Barwon Health - Anglesea,1024,Fixed Site,-38.409603,144.185382,"Anglesea Health Service Surfcoast Community Health, McMillan Street",ANGLESEA,3230,"8.30 am - 5.00 pm, Monday to Friday; & 9:00 am - 12-noon, Saturday."
Barwon Health - Belmont,1266,Fixed Site,-38.189817,144.326703,1-17 Reynolds Road,BELMONT,3216,8.30 am and 5.00 pm Monday to Friday
Barwon Health - Corio,1021,Fixed Site,-38.076847,144.356836,2 Gellibrand Street,CORIO,3214,"8:30 am - 5:00 pm, Monday to Friday."
Barwon Health - Geelong,1023,Fixed Site,-38.147303,144.356194,40 Little Malop Street,GEELONG,3220,"Mon, Tues 9am-5pm; Wed 11.30am-5pm; Th, Fri 9am-5pm"
Barwon Health - Mobile,1020,Fixed Site,-38.147303,144.356194,40 Little Malop Street,GEELONG,3220,9am-5 pm Monday to Friday
Barwon Health - Newcomb,1022,Fixed Site,-38.171993,144.395594,104-108 Bellarine Highway,NEWCOMB,3219,"8:30 am - 5:00 pm, Monday to Friday."
Barwon Health - Torquay,1025,Fixed Site,-38.328006,144.317822,"Surf Coast Medical Centre, 100 Surf Coast Highway",TORQUAY,3228,"8.30 am - 5:00 pm, Monday to Friday; 9:00 am -12-noon, Saturday."
Barwon Health - University Hospital Geelong,1372,Fixed Site,-38.151297,144.365965,Ryrie Street,GEELONG,3220,24/7 (advertised as 5pm-9am)
Bass Coast Health - Cowes,1638,Fixed Site,-38.449521,145.237219,14 Warley Avenue,COWES,3922,M-F 9am-5pm
Bass Coast Health - San Remo,1196,Fixed Site,-38.526943,145.371544,1 Back Beach Road,SAN REMO,3925,"9:00 am - 5:00 pm, Monday to Friday."
Bass Coast Health - Wonthaggi,1340,Fixed Site,-38.607313,145.589008,"235 Graham Street,",WONTHAGGI,3995,"9am-5pm, Mon - Fri"
Bass Coast Health - Wonthaggi & District Hospital,1246,Fixed Site,-38.607306,145.580924,235 Graham Street,WONTHAGGI,3995,Family Resource Centre: M-F 8:30am-5pm; Urgent Care Centre: M-F 5pm-8:30am; Sa-Su 24/7
Baxter Pharmacy,1331,Pharmacy,-38.195094,145.158111,78 Baxter - Tooradin Road,BAXTER,3911,"8:30am-5:30pm M-F, 9:00am-1:00pm Sat"
Bayside Pharmacy Vic,1676,Pharmacy,-37.929097,145.004208,602 Hampton Street,BRIGHTON,3186,Mon-Fri 9am-6pm; Sat 9am - 2pm; Sun & Pub Hols CLOSED
Bayswater Direct Chemist Outlet,1766,Pharmacy,-37.842367,145.266494,"Shop 13, Mountain Highway Shopping Centre, 7-13 High Street",BAYSWATER,3153,Mon - Fri 8:30 - 6pm; Sat 9am - 5pm; Sun/Public Hols 10am - 4pm
Beechworth Pharmacy,1629,Pharmacy,-36.359894,146.686873,82 Ford Street,BEECHWORTH,3747,M-F 9am-5:30pm; Sat 9am-12:30pm
Bell Street Mall Pharmacy,1440,Pharmacy,-37.748711,145.042369,"Shop 43, The Mall, Bell Street",HEIDELBERG WEST,3081,M-F 9am-5.30pm; Sat 9am-12.30pm
Bellarine Community Health Ltd - Drysdale,1027,Fixed Site,-38.174873,144.566861,21-25 Palmerston Street,DRYSDALE,3222,"8:30 am - 5:00 pm, Monday to Friday."
Bellarine Community Health Ltd - Ocean Grove,1028,Fixed Site,-38.265991,144.523633,78 Presidents Ave,OCEAN GROVE,3226,"8:30 am - 5:00 pm, Monday to Friday."
Bellarine Community Health Ltd - Point Lonsdale,1029,Fixed Site,-38.273194,144.619238,2-16 Nelson Road,POINT LONSDALE,3225,"8:30 am - 5:00 pm, Monday to Friday, & 9:00 am - 12-noon, Saturday."
Bellarine Community Health Ltd - Portarlington,1030,Fixed Site,-38.115897,144.652073,39 Fenwick Street,PORTARLINGTON,3223,"9:00 am - 5:00 pm, Monday to Friday."
Benalla Health - Benalla & District Memorial Hospital,1031,Fixed Site,-36.555317,145.993499,"Urgent Care Centre, 45-63 Coster Street",BENALLA,3672,After hours.
Benalla Health - CHS,1071,Fixed Site,-36.555317,145.993499,45 Coster Street,BENALLA,3672,"8.30am to 5pm, Monday to Friday"
Bendigo CHS - Bendigo,1032,Fixed Site,-36.757662,144.284508,171 Hargreaves Street,BENDIGO,3550,"7:30 pm - 11:30 pm, Tuesday to Saturday"
Bendigo CHS - Eaglehawk,1033,Fixed Site,-36.718466,144.250864,3 Seymoure Street,EAGLEHAWK,3556,"8:30 am - 5:00 pm, Monday to Friday."
Bendigo CHS - Kangaroo Flat,1034,Fixed Site,-36.797383,144.239645,13-25 Helm Street,KANGAROO FLAT,3555,"8:30 am - 5:00 pm, Monday to Friday."
Bentleigh Corner Pharmacy,1427,Pharmacy,-37.91867,145.041556,473 Centre Road,BENTLEIGH,3204,M-Sun 8.30am-10pm
Birallee Pharmacy,1566,Pharmacy,-36.127556,146.864168,"G16 Centro Birallee, 3 Birallee Place",WEST WODONGA,3690,M-F 8.30am-7pm; Sat 9am-3pm
Birchip Community Pharmacy,1512,Pharmacy,-35.982215,142.917269,49-51 Cumming Avenue,BIRCHIP,3483,M-F 9am-5.30pm; Sat 9am-12pm
Birregurra Pharmacy,1754,Pharmacy,-38.33702,143.786361,40 Main Street,BIRREGURRA,3242,Mon-Fri 9am - 5:30pm; Sat 9am - 12pm
Brian Atkins Pharmacy,1609,Pharmacy,-37.736957,144.890824,431 Keilor Road,NIDDRIE,3042,M-F 9am-6pm; Sat 9am-6pm
Brophy Family & Youth Services,1040,Fixed Site,-38.384509,142.480745,210 Timor Street,WARRNAMBOOL,3280,"9:00 am - 5:00 pm, Monday to Friday."
Browns Pharmacy,1368,Pharmacy,-37.867851,145.105278,11 Cleveland Road,ASHWOOD,3147,M - F 9am - 6pm; Sat 9am - 12.30pm
Bruce Caldwell Pharmacy,1338,Pharmacy,-37.874845,145.091979,633 Warrigal Road,CHADSTONE,3148,Monday - Friday 9.00am - 5.30pm; Saturday 9.00am - 12noon
Buckleys Pharmacy,1437,Pharmacy,-37.916429,145.176893,210 Brandon Park Drive,WHEELERS HILL,3150,M-F 8am-7pm; Sat 9am-2pm; Sun 10am-2pm
Cann Valley Bush Nursing Centre Inc.,1042,Fixed Site,-37.566207,149.150224,Monaro Highway,CANN RIVER,3890,"9:00 am - 6:00 pm, Monday to Friday; On call for emergencies."
Care Pharmacy - Broadmeadows,1649,Pharmacy,-37.684455,144.914153,50-52 Bamburgh St,JACANA,3047,"M-F 9am-9pm, Sa-Su 9am-5pm"
Care Pharmacy - Watsonia,1422,Pharmacy,-37.71214,145.09306,"Shop 9, Diamond Village Shopping Centre, 78 Nepean Street",WATSONIA,3087,M-F 9am-6pm; Sat 9am-1pm
Caremore Pharmacy - Croydon,1728,Pharmacy,-37.81099,145.288619,441 Dorset Road,CROYDON,3136,Mon - Fri 9am - 6pm; Sat 9am - 1pm; Sun CLOSED
Carlton North Pharmacy,1773,Pharmacy,-37.781754,144.977539,751 Nicholson Street,CARLTON NORTH,3054,Mon - Fri: 9am - 5:30pm; Sat 9am - 2pm; Sun CLOSED
Carnovale Pharmacy,1046,Pharmacy,-37.813015,144.883698,149 Somerville Road,YARRAVILLE,3013,"24 Hours, 365 Days"
Carrington Health - Whitehorse CHS - CHOPER,1243,Fixed Site,-37.820273,145.121399,43 Carrington Road,BOX HILL,3128,"8:30am to 5:00pm, Monday to Friday."
Caseys Pharmacy,1408,Pharmacy,-37.801145,145.062678,1052 Burke Road,BALWYN,3103,M-F 9am-7pm; Sat 9am-5pm
Castlemaine District Community Health,1048,Fixed Site,-37.065359,144.216284,13 Mostyn Street,CASTLEMAINE,3450,"9:00 am - 4.30 pm, Monday to Friday."
Castlemaine Hospital,1159,Fixed Site,-37.053434,144.213628,142 Cornish Street,CASTLEMAINE,3450,"24 hours, 7 days a week"
Central Bayside CHS,1050,Fixed Site,-38.05245,145.114937,3/1 The Strand,CHELSEA,3196,"M-Tu 10am-5 pm, W-F 9am-5 pm"
Central Gippsland Health Service - Community Services,1055,Secure Dispensing Unit,-38.108441,147.079894,Cnr Palmerston & Cunningham Streets,SALE,,"24 hours a day, 7 days a week."
Central Gippsland Health Service - Emergency Department,1054,Fixed Site,-38.107877,147.080948,155 Guthridge Parade,SALE,3850,"7:00 am - 10:00 pm, 7 days"
Central Gippsland Health Service - Loch Sport,1723,Fixed Site,-38.045734,147.586746,1 National Park Road,LOCH SPORT,3851,Mon - Th 9am - 1pm
Central Gippsland Health Service - Maffra,1743,Fixed Site,-37.960687,146.98298,48 Kent Street,MAFFRA,3860,Mon-Fri 8:30am - 4pm
Central Gippsland Health Service - Rosedale,1724,Fixed Site,-38.154562,146.7877,2-8 Cansick Street,ROSEDALE,3847,Mon - Th 9am - 4:30pm
Chadstone Pharmacy,1669,Pharmacy,-37.873929,145.110403,277 Huntingdale Road,CHADSTONE,3148,"M-F 8am-8pm, Sa 9am-5pm, Su 10am-3pm"
Charles Pharmacy,1435,Pharmacy,-37.894921,145.076882,96a Poath Road,HUGHESDALE,3166,M-F 9am-7pm; Sat 9am-2pm
Chemist Discount Centre - Glenroy,1592,Pharmacy,-37.705587,144.916154,"Shop 2-3, 796G Pascoe Vale Road",GLENROY,3046,M-F 8:30am-6pm; Sat 9am-5pm; Sun 10am-1pm
Chemist Discount Centre - Peninsula,1470,Pharmacy,-38.225483,145.055412,"Shop 2-3, 1128-1132 Nepean Highway",MORNINGTON,3931,8.30am-6:00pm M-F; 9:00am-2:00pm Sa
Chemist King,1738,Pharmacy,-36.561212,146.723867,151 Myrtle Street,MYRTLEFORD,3737,Mon - Fri 8:30am - 6:30pm; Sat 9am - 2pm; Sun 10 - 2pm; Public Hols Please call beforehand
Chemist Warehouse - Alfredton,1518,Pharmacy,-37.555503,143.817702,1609a Sturt Street,ALFREDTON,3350,M-F 9am-9pm; Sat 9am-5pm; Sun 10am-5pm
Chemist Warehouse - Carnegie,1630,Pharmacy,-37.884988,145.067714,28-30 Koornang Road,CARNEGIE,3163,M-F 9am-5pm
Chemist Warehouse - Dandenong,1571,Pharmacy,-37.98759,145.213898,265 Lonsdale Street,DANDENONG,3175,M-F 9am-9pm; Sat 9am-7pm; Sun & public holiday 9am-6pm Closed Christmas Day & Good Friday
Chemist Warehouse - Fairfield,1691,Pharmacy,-37.776405,145.018195,138 Station Street,FAIRFIELD,3078,Mon-Fri 8:30am - 9pm; Sat 8:30am - 6pm; Sun 9am - 5pm
Chemist Warehouse - Fitzroy,1593,Pharmacy,-37.801275,144.978219,206-210 Brunswick Street,FITZROY,3065,M-F 9am-9pm; Sat 9am-5pm; Sun 10am-5pm
Chemist Warehouse - Mildura,1637,Pharmacy,-34.186991,142.158558,114a-118 Langtree Avenue,MILDURA,3500,M-F 8am-9pm; Sat 8am-9pm; Sun 10am-5pm
Chemist Warehouse - Mildura DC,1690,Pharmacy,-34.218545,142.151198,"Shop 5B, Mildura Homemaker Centre, Cnr Fifteenth Sreet & Benetook Avenue",MILDURA,3500,"8am to 7pm, 7 days; Public Hols 10am to 5pm"
Chemist Warehouse - Newmarket,1752,Pharmacy,-37.787327,144.927876,"Shops 3 & 6, 388-390 Racecourse Road",FLEMINGTON,3031,9am - 9pm 7 Days a Week; CLOSED Xmas Day
Chemist Warehouse - Shepparton,1631,Pharmacy,-36.383348,145.398919,425-429 Wyndham Street,SHEPPARTON,3630,M-F 8:30am-9pm; Sat 9am-7pm; Sun 9am-6pm
Chemistree Wellness Pharmacy,1142,Pharmacy,-37.864331,144.813914,8 Harrington Square,ALTONA,3018,Mon-Fri 8:30am-5:30pm; Sat 9am-12:30pm; Sun CLOSED
Chemmart Pharmacy - Altona North,1405,Pharmacy,-37.834693,144.845774,22 Borrack Square,ALTONA NORTH,3025,M-F 9am-5.30pm; Sat 9am-12.30pm
Chemmart Pharmacy - Artz and Kay,1553,Pharmacy,-38.381481,142.483578,"Shop 3, 145 Lava Street",WARRNAMBOOL,3280,8.30am-7pm 7 days a week (closed Good Friday and Christmas Day)
Chemmart Pharmacy - Bairnsdale,1694,Pharmacy,-37.811247,147.63097,"Shop 9, Eastwood Village Shopping Centre, 30 Howitt Avenue",BAIRNSDALE,3875,"M-F 9am-6pm, Sa 9am-1pm"
Chemmart Pharmacy - Blackburn North,1386,Pharmacy,-37.810303,145.152743,"Shop 33, Blackburn North Square, Springfield Road",BLACKBURN NORTH,3130,M-F 9am-9pm; Sat 9am-5pm; Sun 10am-5pm
Chemmart Pharmacy - Carnegie,1718,Pharmacy,-37.887426,145.057011,85 Koornang Road,CARNEGIE,3163,Mon - Sun 9am - 9pm
Chemmart Pharmacy - Colac,1353,Pharmacy,-38.341521,143.58536,52 Bromfield Street,COLAC,3250,Monday - Friday 9.00-5.00; Saturday - Sunday 10.00-1.00
Chemmart Pharmacy - Frankston,1460,Pharmacy,-38.145142,145.124066,"Shop 1, 89-97 Young Street",FRANKSTON,3199,M-T 8am-9pm; F-Sat 8am-7pm; Sun 9am-7pm
Chemmart Pharmacy - Horsham,1363,Pharmacy,-36.713882,142.199274,58 Firebrace Street,HORSHAM,3400,M - T 8.30 - 6.00pm; F 8.30 - 7.00pm; Sat 9.00am - 12.30pm; Sun & Pub Hol 6.00pm - 7.00pm
Chemmart Pharmacy - Kyneton,1516,Pharmacy,-37.248308,144.453172,107 Mollison Street,KYNETON,3444,M-F 8.30am-6pm; Sat 8.30am-1pm; alternate Sun 11am-1pm
Chemmart Pharmacy - Macedon Plaza,1407,Pharmacy,-37.773368,145.113064,"Shop 13-14, Macedon Plaza Shopping Centre, 325 Manningham Road",TEMPLESTOWE LOWER,3107,M-F 9am-7pm; Sat 9am-5pm; Sun 9am-1pm
Chemmart Superstore,1414,Pharmacy,-37.683988,144.580995,383-385 High Street,MELTON,3337,M-F 9am-8pm; Sat 9am-3pm; Sun 10am-3pm
Chris Walshs Pharmacy Drysdale,1569,Pharmacy,-38.173076,144.569458,"Shop 5, 3 Wyndham Street",DRYSDALE,3222,M-F 9am-6pm; Sat 9am-1pm; Sun 10am-2pm
Churchill Avenue Community Pharmacy,1610,Pharmacy,-37.785815,144.853224,164 Churchill Avenue,BRAYBROOK,3019,M-F 9am-5:30pm; Sat 9am-12pm
Clairview Discount Pharmacy,1640,Pharmacy,-37.777204,144.755828,"Shop 4 - 5 , 8 Hatchlands Drive",DEER PARK,3023,"M-F 9am 7pm, Sa 9am-5pm, Su 10am-2pm"
Clairview Pharmacy,1736,Pharmacy,-37.77814,144.756067,2/20 Clairview Road,DEER PARK,3023,Mon - Fri 9am - 7pm; Sat 10am - 5pm; Sun CLOSED
Clifton Hill Pharmacy,1411,Pharmacy,-37.788193,144.991033,340 Queens Parade,CLIFTON HILL,3068,M-F 9am-7.30pm; Sat 9am-5pm; Sun 10am-3pm
Clunes Pharmacy,1519,Pharmacy,-37.293928,143.786949,54 Fraser Street,CLUNES,3370,M-F 9am-5.30pm; Sat 9am-12noon
Coastcare Pharmacy Paynesville,1580,Pharmacy,-37.919333,147.724129,65 The Esplanade,PAYNESVILLE,3880,M-F 9am-5:30pm; Sat 9am-12:30pm; Sun 10am-12pm
Cobaw CHS,1061,Fixed Site,-37.249695,144.455456,47 High Street,KYNETON,3444,M-Th 9am-5pm; Fri 9am-4pm
Cobram District Health,1062,Fixed Site,-35.91653,145.651093,24-32 Broadway Street,COBRAM,3644,"24 hours a day, 7 days a week."
Cohealth - Braybrook Community Centre,1329,Fixed Site,-37.786331,144.85481,107-139 Churchill Avenue,BRAYBROOK,3019,M-F 10am-5pm
Cohealth - Carlton,1167,Fixed Site,-37.79184,144.968722,622 Lygon Street,CARLTON,3053,"M, Tu, Th, F 9am-5pm, Wed 11am-5pm"
Cohealth - Collingwood,1168,Fixed Site,-37.799256,144.992645,365 Hoddle Street,COLLINGWOOD,3066,"M, Tu, W, F 8.30am-6pm, Th 8.30am-7pm, Sa-Su 9am-12noon"
Cohealth - Fitzroy,1169,Fixed Site,-37.805262,144.977084,75 Brunswick Street,FITZROY,3065,M-F 9am-6pm
Cohealth - Health Works,1240,Fixed Site,-37.803605,144.899219,4-12 Buckley Street,FOOTSCRAY,3011,M-F 10am-6pm; Sat 10am-2pm
Cohealth - InnerSpace,1145,Fixed Site,-37.798867,144.984952,4-6 Johnston Street,COLLINGWOOD,3066,"10.30am to 6.30pm, Monday to Friday; 7.30pm to 11.15pm, 7 days a week"
Cohealth - Niddrie,1075,Fixed Site,-37.73522,144.888945,3-15 Matthews Avenue,NIDDRIE,3042,"9am to 5pm, Monday to Friday"
Cohuna District Hospital,1344,Fixed Site,-35.800185,144.214633,King George Street,COHUNA,3568,"At the Centre 24 hours per day, seven days per week."
Colac Area Health,1063,Fixed Site,-38.340841,143.582254,"Urgent Care Department, 2-28 Connor Street",COLAC,3250,"24 hours a day, 7 days a week."
Collins Place Pharmacy,1428,Pharmacy,-37.814234,144.972413,"Shop 59-60, Collins Place, 45 Collins Street",MELBOURNE,3000,M-F 8am-6pm; Sat 10am-2pm
Community Care Chemist - North Geelong,1692,Pharmacy,-38.111078,144.342919,75 Separation Street,NORTH GEELONG,3215,Mon - Fri 9am - 5:30pm; Sat 9am - 12:30pm; Sun CLOSED
Community Pharmacy Elsternwick,1756,Pharmacy,-37.884516,145.003561,355 Glenhuntly Road,ELSTERNWICK,3185,Mon - Fri 9:00am - 6pm; Sat 9am - 3pm; Sun/Public Hols CLOSED
Connect Health and Community,1035,Fixed Site,-37.920122,145.062264,2A Gardeners Road,BENTLEIGH EAST,3165,"12:45 pm - 4:45 pm, Monday to Friday."
Core Pharmacy Tullamarine,1658,Pharmacy,-37.701354,144.881021,195 Melrose Drive,TULLAMARINE,3043,"M-F 9am-7pm, Sat 9am-5pm"
Corner Amcal - Bairnsdale,1585,Pharmacy,-37.825994,147.629524,190-192 Main Street,BAIRNSDALE,3875,M-F 8am-7pm; Sat 8:30am-2pm; Sun 10am-1pm
