Service Name,Physical Address Line 1,Physical Address Line 2,Physical Address Suburb,Physical Address State,Physical Address Post Code,2018 Aged Care Planning Region (ACPR),Care Type,Residential Places,Home Care Places,Restorative Care Places,Provider Name,Organisation Type,ABS Remoteness,Latitude,Longitude,2018-19 Australian Government Funding
Benetas Dalkeith Gardens,49-53 Hazelwood Road,,TRARALGON,VIC,3844,Gippsland,Residential,64,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-38.210865,146.521642," $3,983,641 "
Campbell Place,129 Coleman Parade,,GLEN WAVERLEY,VIC,3150,Eastern Metro,Residential,102,,,Australian Unity Care Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.87910001,145.1591122," $5,590,399 "
Emmy Monash Aged Care,518-526 Dandenong Road,,CAULFIELD NORTH,VIC,3161,Southern Metro,Residential,151,,,Emmy Monash Aged Care Inc,Religious,Major Cities of Australia,-37.866235,145.026589," $7,404,453 "
Vasey RSL Care Frankston South,85 Overport Road,,FRANKSTON SOUTH,VIC,3199,Southern Metro,Residential,120,,,Vasey RSL Care Ltd,Community Based,Major Cities of Australia,-38.16954266,145.1234673," $7,303,248 "
AdventCare Whitehorse,163-165 Central Road,,NUNAWADING,VIC,3131,Eastern Metro,Residential,143,,,Seventh-Day Adventist Aged Care (Victoria) Ltd,Religious,Major Cities of Australia,-37.82465886,145.1674969," $8,145,104 "
AdventCare Yarra Ranges,5 Woods Point Road,,WARBURTON,VIC,3799,Eastern Metro,Residential,31,,,Seventh-Day Adventist Aged Care (Victoria) Ltd,Religious,Inner Regional Australia,-37.75230147,145.7024769," $2,092,151 "
Amaroo Gardens - Aged Care Facility,811 Burwood Highway,,FERNTREE GULLY,VIC,3156,Eastern Metro,Residential,102,,,Wickro Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.88141832,145.2742274," $7,833,294 "
Dunmunkle Lodge Hostel,1 McLeod Street,,MINYIP,VIC,3392,Grampians,Residential,38,,,Dunmunkle Lodge Inc,Community Based,Outer Regional Australia,-36.45797181,142.5947669," $2,292,049 "
Wharparilla Lodge,Hartshorn Drive,,ECHUCA WEST,VIC,3564,Loddon-Mallee,Residential,92,,,Echuca Benevolent Society Inc,Community Based,Inner Regional Australia,-36.12895616,144.7219926," $5,700,810 "
Edgarley Home,85 Jackson Street,,CASTERTON,VIC,3311,Barwon-South Western,Residential,43,,,Edgarley Home Inc,Community Based,Outer Regional Australia,-37.59057528,141.3972363," $3,162,697 "
Karingal Seymour,3 Bretonneux Street,,SEYMOUR,VIC,3660,Hume,Residential,60,,,Seymour Elderly Citizens Hostel Inc,Community Based,Inner Regional Australia,-37.01895871,145.1403824," $2,781,632 "
Mercy Place Boronia,7-9 Maryville Way,,BORONIA,VIC,3155,Eastern Metro,Residential,58,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.8648795,145.2868622," $2,787,626 "
Allambi Elderly Peoples Home,46 Anderson Street,,DIMBOOLA,VIC,3414,Grampians,Residential,14,,,Allambi Elderly Peoples Home Inc,Community Based,Outer Regional Australia,-36.44920536,142.0254205," $594,737 "
mecwacare Simon Price Centre,13-25 Strabane Avenue,,MONT ALBERT NORTH,VIC,3129,Eastern Metro,Residential,53,,,MECWA,Community Based,Major Cities of Australia,-37.80752346,145.1130577," $2,678,943 "
Jacaranda House Hostel,125 McKean Street,,BAIRNSDALE,VIC,3875,Gippsland,Residential,41,,,Bairnsdale Regional Health Service,State Government,Outer Regional Australia,-37.83277475,147.6060035," $2,569,951 "
Benetas St Paul's Terrace,2 b Towerhill Road,,FRANKSTON,VIC,3199,Southern Metro,Residential,80,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-38.162952,145.135418," $5,176,589 "
Sunnyside Lutheran Retirement Village,6 TRINITY Drive,,HORSHAM,VIC,3400,Grampians,Residential,75,,,Lutheran Church of Australia Victorian District,Religious,Outer Regional Australia,-36.70847,142.215949," $4,459,849 "
Villa Maria Catholic Homes Providence Aged Care Residence,9 GRIFFITH Street,,MADDINGLEY,VIC,3340,Grampians,Residential,58,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-37.68739895,144.428355," $2,486,117 "
St Catherine's Hostel Wangaratta Inc,59-69 Ryley Street,,WANGARATTA,VIC,3677,Hume,Residential,69,,,St Catherine's Hostel Wangaratta Inc,Religious,Inner Regional Australia,-36.35696505,146.3230543," $4,465,901 "
Emerald Hill Residence,203 Napier Street,,SOUTH MELBOURNE,VIC,3205,Southern Metro,Residential,146,,,Claremont and Southport Aged Care Limited,Community Based,Major Cities of Australia,-37.836578,144.960677," $9,507,275 "
Gorrinn House Hostel,27 Albert Street,,ARARAT,VIC,3377,Grampians,Residential,60,,,Ararat Retirement Village Inc,Community Based,Inner Regional Australia,-37.28978926,142.940777," $3,852,160 "
Melaleuca Aged Care,1 Watchorn Road,,COWES,VIC,3922,Gippsland,Residential,37,,,Phillip Island Homes for the Aged Association Inc,Community Based,Inner Regional Australia,-38.454955,145.240574," $1,253,870 "
Fairview Inc,30 Sargeant Street,,WARRAGUL,VIC,3820,Gippsland,Residential,68,,,Fairview Village Limited,Community Based,Inner Regional Australia,-38.17473195,145.9288754," $5,005,109 "
Benetas St Laurence Court - Eaglehawk,112 UPPER CALIFORNIA GULLY Road,,CALIFORNIA GULLY,VIC,3556,Loddon-Mallee,Residential,67,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-36.73558916,144.2542063," $5,010,705 "
Villa Maria Catholic Homes St Catherine's Aged Care Residence,1 Clayton Road,,BALWYN,VIC,3103,Eastern Metro,Residential,89,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-37.8056931,145.0969565," $4,911,086 "
Mercy Place Fernhill,18-20 Fernhill Road,,SANDRINGHAM,VIC,3191,Southern Metro,Residential,120,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.951371,145.007592," $7,923,499 "
Mayflower Brighton,7 Centre Road,,BRIGHTON EAST,VIC,3187,Southern Metro,Residential,150,,,Mayflower Brighton,Private Incorporated Body,Major Cities of Australia,-37.914631,145.008243," $8,975,745 "
Churches of Christ Care Oak Towers Aged Care Service Oakleigh,139 Atherton Road,,OAKLEIGH,VIC,3166,Eastern Metro,Residential,134,,,Churches of Christ in Queensland,Religious,Major Cities of Australia,-37.899344,145.097874," $9,123,416 "
Wannon Court Hostel,72-74 Pilleau Street,,COLERAINE,VIC,3315,Barwon-South Western,Residential,39,,,Western District Health Service,State Government,Outer Regional Australia,-37.60085845,141.6932614," $2,112,460 "
Uniting AgeWell Condare Court,8 Joffre Street,,CAMBERWELL,VIC,3124,Eastern Metro,Residential,62,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Major Cities of Australia,-37.843052,145.092279," $4,506,845 "
Uniting AgeWell Strath-Haven,131-149 Condon Street,,BENDIGO,VIC,3550,Loddon-Mallee,Residential,95,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Inner Regional Australia,-36.77363926,144.3064834," $6,900,982 "
Uniting AgeWell Kalkee Nangatta,206 High Street,,BELMONT,VIC,3216,Barwon-South Western,Residential,51,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Major Cities of Australia,-38.17640095,144.3410227," $3,759,136 "
Uniting AgeWell Tanderra,141 Highfield Road,,CAMBERWELL,VIC,3124,Eastern Metro,Residential,40,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Major Cities of Australia,-37.83848616,145.0839886," $3,137,724 "
Uniting AgeWell Box Hill,75 Thames Street,,BOX HILL,VIC,3128,Eastern Metro,Residential,120,,,The Uniting Church in Australia Property Trust (Victoria),Religious,Major Cities of Australia,-37.81374123,145.1237478," $8,512,198 "
Crossley House Hostel Inc,14 Nicol Street,,YARRAM,VIC,3971,Gippsland,Residential,30,,,Yarram & District Health Service,State Government,Inner Regional Australia,-38.55762255,146.6786154," $1,152,078 "
Stretton Park Hostel,George Street,,MAFFRA,VIC,3860,Gippsland,Residential,42,,,Stretton Park Incorporated,Community Based,Inner Regional Australia,-37.95787216,146.9854374," $2,016,182 "
Faversham House,27 Shierlaw Avenue,,CANTERBURY,VIC,3126,Eastern Metro,Residential,185,,,Boroondara Aged Services Society,Community Based,Major Cities of Australia,-37.82334213,145.0852062," $8,835,680 "
Rosebank Hostel,20 Miller Street,,YEA,VIC,3717,Hume,Residential,15,,,Yea and District Memorial Hospital,State Government,Inner Regional Australia,-37.21383296,145.4316555," $632,606 "
Mayflower Reservoir,56 Elliot Street,,RESERVOIR,VIC,3073,Northern Metro,Residential,38,,,Mayflower Reservoir,Private Incorporated Body,Major Cities of Australia,-37.70453929,144.9949769," $2,468,356 "
Hopetoun Hostel,12 Mitchell Place,,HOPETOUN,VIC,3396,Grampians,Residential,23,,,Rural Northwest Health,State Government,Outer Regional Australia,-35.73093915,142.3655104," $1,537,318 "
Prague House,253 Cotham Road,,KEW,VIC,3101,Eastern Metro,Residential,45,,,St Vincent's Hospital (Melbourne) Limited,Charitable,Major Cities of Australia,-37.8091645,145.0519894," $1,986,192 "
Lynden Aged Care,49 Lynden Street,,CAMBERWELL,VIC,3124,Eastern Metro,Residential,102,,,Lynden Aged Care Association Inc,Community Based,Major Cities of Australia,-37.84180173,145.0869114," $4,779,591 "
Mercy Place Newport,288 Melbourne Road,,NEWPORT,VIC,3015,Western Metro,Residential,37,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.84738018,144.8867277," $2,472,135 "
Mercy Place Abbotsford Hostel,2 Clarke Street,,ABBOTSFORD,VIC,3067,Northern Metro,Residential,35,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.80204383,145.002118," $2,460,220 "
Villa Maria Catholic Homes Willowbrooke Aged Care Residence,9a Willow Road,,UPPER FERNTREE GULLY,VIC,3156,Eastern Metro,Residential,49,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-37.895267,145.304569," $2,617,081 "
Latrobe Valley Village Hostel,5 Ollerton Avenue,,MOE,VIC,3825,Gippsland,Residential,96,,,Latrobe Valley Village Inc,Community Based,Inner Regional Australia,-38.182163,146.278196," $7,011,713 "
mecwacare O'Mara House,15 Hunter Road,,TRARALGON,VIC,3844,Gippsland,Residential,67,,,MECWA,Community Based,Inner Regional Australia,-38.20875865,146.5478307," $4,638,867 "
Regis East Malvern,400 Waverley Road,,MALVERN EAST,VIC,3145,Southern Metro,Residential,155,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.87800106,145.0635171," $7,150,183 "
Mitchell House Hostel,127 Vary Street,,MORWELL,VIC,3840,Gippsland,Residential,56,,,Mitchell House Inc,Community Based,Inner Regional Australia,-38.22185513,146.4270779," $2,581,397 "
Benetas Lovell House,389 Alma Road,,CAULFIELD NORTH,VIC,3161,Southern Metro,Residential,40,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.865573,145.023295," $2,771,250 "
Villa Maria Catholic Homes John R Hannah Aged Care Residence,68 Wattle Grove,,MULGRAVE,VIC,3170,Eastern Metro,Residential,74,,,Villa Maria Catholic Homes Limited,Charitable,Major Cities of Australia,-37.93321089,145.1584779," $5,474,726 "
Coates,1 James Street,,ST ARNAUD,VIC,3478,Grampians,Residential,27,,,Respect Group Limited,Charitable,Outer Regional Australia,-36.60894378,143.2478708," $1,561,960 "
BlueCross Box Hill,40 Dorking Road,,BOX HILL,VIC,3128,Eastern Metro,Residential,173,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.8163953,145.1313224," $3,132,738 "
Latvian Aged Care Facility,60 Fraser Crescent,,WANTIRNA SOUTH,VIC,3152,Eastern Metro,Residential,54,,,Latvian Friendly Society Ltd,Community Based,Major Cities of Australia,-37.87821014,145.2312511," $2,076,403 "
The Views at Heidelberg,2-6 Lower Plenty Road,,HEIDELBERG,VIC,3084,Northern Metro,Residential,103,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.746992,145.05829," $3,366,194 "
Prom Country Aged Care,9 O'Connell Road,,FOSTER,VIC,3960,Gippsland,Residential,68,,,Prom Country Aged Care Inc,Community Based,Inner Regional Australia,-38.65784925,146.2072756," $3,591,847 "
Griffiths Point Lodge Hostel,Davis Point Road,,SAN REMO,VIC,3925,Gippsland,Residential,29,,,Bass Coast Health,State Government,Inner Regional Australia,-38.52575606,145.36927," $1,152,523 "
Glendale Aged Care,1 Glendale Court,,WERRIBEE,VIC,3030,Western Metro,Residential,220,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.87793428,144.67853," $15,418,033 "
Rosary Home,138 Odessa Avenue,,KEILOR DOWNS,VIC,3038,Western Metro,Residential,50,,,Congregation of Dominican Sisters of Malta (VIC),Religious,Major Cities of Australia,-37.715408,144.805889," $2,295,175 "
Benetas Corowa Court,752 Esplanade,,MORNINGTON,VIC,3931,Southern Metro,Residential,120,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-38.221686,145.032531," $8,074,083 "
Lionsbrae Hostel,29 Everard Road,,RINGWOOD EAST,VIC,3135,Eastern Metro,Residential,69,,,Ringwood Area Lions Aged Care Inc,Community Based,Major Cities of Australia,-37.80397279,145.2515357," $5,891,307 "
Cumberland View Aged Care - Whalley Drive,123-127 Whalley Drive,,WHEELERS HILL,VIC,3150,Eastern Metro,Residential,161,,,Arton Retirement Villages Pty Limited,Private Incorporated Body,Major Cities of Australia,-37.92274395,145.1986479," $8,920,813 "
Corpus Christi Community,855 Mickleham Road,,GREENVALE,VIC,3059,Northern Metro,Residential,88,,,Corpus Christi Community Greenvale Incorporated,Charitable,Major Cities of Australia,-37.637223,144.880831," $4,149,300 "
Elderly Chinese Home,125-129 Manningham Street,,PARKVILLE,VIC,3052,Western Metro,Residential,47,,,Elderly Chinese Home Inc,Community Based,Major Cities of Australia,-37.7836179,144.9405942," $3,263,506 "
Regis Alawarra Lodge,220 Middleborough Road,,BLACKBURN SOUTH,VIC,3130,Eastern Metro,Residential,99,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.83899343,145.1378696," $6,559,435 "
Regis Milpara Lodge,220 Middleborough Road,,BLACKBURN SOUTH,VIC,3130,Eastern Metro,Residential,86,,,Regis Aged Care Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.83899343,145.1378696," $4,364,547 "
Royal Freemasons - Elizabeth Gardens Hostel,2-8 Elizabeth Street,,BURWOOD,VIC,3125,Eastern Metro,Residential,38,,,Royal Freemasons Ltd,Charitable,Major Cities of Australia,-37.85812779,145.0957599," $2,297,892 "
St Basil's Homes for the Aged in Victoria,24 Lorne Street,,FAWKNER,VIC,3060,Northern Metro,Residential,150,,,St Basil's Homes for the Aged in Victoria,Religious,Major Cities of Australia,-37.71485033,144.975611," $8,808,391 "
mecwacare Vincent House,125 -135 KENNY Street,,WESTMEADOWS,VIC,3049,Northern Metro,Residential,30,,,MECWA,Community Based,Major Cities of Australia,-37.67524296,144.896149," $2,588,712 "
Napier Street Aged Care Services,179-197 Napier Street,,SOUTH MELBOURNE,VIC,3205,Southern Metro,Residential,62,,,179 Napier Street Hostel Association Inc,Community Based,Major Cities of Australia,-37.83690015,144.9612561," $4,361,929 "
Sacred Heart Community,43 Robe Street,,ST KILDA,VIC,3182,Southern Metro,Residential,83,,,Sacred Heart Mission Inc,Religious,Major Cities of Australia,-37.86425578,144.979141," $5,306,854 "
Barwo Homestead,8 Federation Street,,NATHALIA,VIC,3638,Hume,Residential,20,,,Nathalia and District Hostel for the Aged Association Inc,Community Based,Inner Regional Australia,-36.0556472,145.2001096," $939,578 "
Westmont Homestead,265 Baranduda Boulevard,,BARANDUDA,VIC,3691,Hume,Residential,100,,,Westmont Aged Care Services Limited,Community Based,Inner Regional Australia,-36.17209879,146.9342832," $6,847,407 "
Kirkbrae Kilsyth Hostel,794 Mt Dandenong Road,,KILSYTH,VIC,3137,Eastern Metro,Residential,50,,,Presbyterian Church of Victoria Trusts Corporation,Religious,Major Cities of Australia,-37.809911,145.331096," $2,609,102 "
Benetas St Laurence Court - Kangaroo Flat,8 Wesley Street,,KANGAROO FLAT,VIC,3555,Loddon-Mallee,Residential,50,,,Anglican Aged Care Services Group,Religious,Inner Regional Australia,-36.80222216,144.2406808," $3,387,499 "
Opal Salford Park,100 Harold Street,,WANTIRNA,VIC,3152,Eastern Metro,Residential,122,,,DPG Services Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.85522419,145.2259706," $8,269,703 "
Hillside Lodge Hostel,75 Bridge Street,,KORUMBURRA,VIC,3950,Gippsland,Residential,30,,,Gippsland Southern Health Service,State Government,Inner Regional Australia,-38.43038489,145.8294399," $1,575,181 "
Kalyna Care,344 Taylors Road,,DELAHEY,VIC,3037,Western Metro,Residential,102,,,Ukrainian Elderly People's Home,Community Based,Major Cities of Australia,-37.72412823,144.7729736," $7,054,182 "
Abbeyfield House Hostel,30 Shaw Street,,MORTLAKE,VIC,3272,Barwon-South Western,Residential,40,,,Aberlea Inc,Community Based,Inner Regional Australia,-38.07922328,142.8108453," $2,307,028 "
Benetas St John's Park,14 Reay Road,,MOOROOLBARK,VIC,3138,Eastern Metro,Residential,20,,,Anglican Aged Care Services Group,Religious,Major Cities of Australia,-37.78874798,145.3151546," $1,486,815 "
MiCare Avondrust Lodge,1105 Frankston-Dandenong Road,,CARRUM DOWNS,VIC,3201,Southern Metro,Residential,72,,,MiCare Ltd,Community Based,Major Cities of Australia,-38.0889427,145.1816201," $3,835,624 "
Carshalton House Hostel,11 Stoneham Street,,GOLDEN SQUARE,VIC,3555,Loddon-Mallee,Residential,45,,,Bendigo Health Care Group,State Government,Inner Regional Australia,-36.78019509,144.258675," $1,775,086 "
Japara Mirboo North,27 Giles Street,,MIRBOO NORTH,VIC,3871,Gippsland,Residential,75,,,Japara Aged Care Services Pty Ltd,Private Incorporated Body,Inner Regional Australia,-38.40179875,146.1544666," $4,081,420 "
BlueCross Livingstone Gardens,39 Livingstone Road,,VERMONT SOUTH,VIC,3133,Eastern Metro,Residential,210,,,Blue Cross Community Care Services Group Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.8549668,145.1802533," $15,383,958 "
Multicultural Aged Care Services Geelong Inc,100 Weddell Road,,NORTH GEELONG,VIC,3215,Barwon-South Western,Residential,101,,,Multicultural Aged Care Services Geelong Inc,Community Based,Major Cities of Australia,-38.12586399,144.347895," $6,683,732 "
Wintringham Williamstown Hostel,2-20 Wintringham Road,,WILLIAMSTOWN NORTH,VIC,3016,Western Metro,Residential,60,,,Wintringham,Charitable,Major Cities of Australia,-37.85503408,144.8790724," $4,244,492 "
Arpad Aged Care,9 Garrisson Grove,,WANTIRNA,VIC,3152,Eastern Metro,Residential,60,,,"""Arpad"" Elderly Welfare Society Inc",Community Based,Major Cities of Australia,-37.84713,145.228442," $3,429,446 "
Tannoch Brae Senior Living,46 Aldershot Road,,ST ALBANS PARK,VIC,3219,Barwon-South Western,Residential,50,,,Allity Pty Ltd,Private Incorporated Body,Major Cities of Australia,-38.18528726,144.3945248," $3,955,638 "
The Bays Aged Care Facility,15 Cool Store Road,,HASTINGS,VIC,3915,Southern Metro,Residential,75,,,The Bays Healthcare Group Inc.,Community Based,Major Cities of Australia,-38.303105,145.188653," $5,571,573 "
Outlook Gardens Aged Care,504 Police Road,,DANDENONG NORTH,VIC,3175,Southern Metro,Residential,95,,,Association for Christian Senior Citizens Homes Inc,Religious,Major Cities of Australia,-37.94013265,145.2112179," $6,158,714 "
Garden View Court Hostel,Lowe Street,,ARARAT,VIC,3377,Grampians,Residential,24,,,East Grampians Health Service,State Government,Inner Regional Australia,-37.27726026,142.9300519," $1,669,099 "
Mekong Vietnamese Aged Care,8 Trott Place,,KEILOR EAST,VIC,3033,Western Metro,Residential,65,,,Indochinese Elderly Refugees Association Victoria Inc,Community Based,Major Cities of Australia,-37.7361142,144.8572922," $4,996,860 "
Havilah Hostel,11 Harkness Street,,MARYBOROUGH,VIC,3465,Loddon-Mallee,Residential,110,,,Havilah Hostel Inc,Community Based,Inner Regional Australia,-37.03865075,143.7433931," $7,764,266 "
Jessie Bowe House,2 Chapel Street,,MALDON,VIC,3463,Loddon-Mallee,Residential,12,,,Maldon Hospital,State Government,Inner Regional Australia,-36.99396123,144.0650481," $578,814 "
Chelsea Lodge Hostel,8 Gosney Street,,WINCHELSEA,VIC,3241,Barwon-South Western,Residential,31,,,Winchelsea Hostel & Nursing Home Society,Community Based,Inner Regional Australia,-38.243425,143.9849397," $2,117,745 "
Mercy Place Dandenong,82 McCrae Street,,DANDENONG,VIC,3175,Southern Metro,Residential,120,,,Mercy Aged and Community Care Ltd,Charitable,Major Cities of Australia,-37.990931,145.219926," $9,149,804 "
Sunbury Lions Community Aged Care,29 Timins Street,,SUNBURY,VIC,3429,Northern Metro,Residential,33,,,Sunbury Community Health Centre,Community Based,Major Cities of Australia,-37.58669405,144.7292423," $2,014,628 "
MiCare Overbeek Lodge,736 Mount Dandenong Road,,KILSYTH,VIC,3137,Eastern Metro,Residential,55,,,MiCare Ltd,Community Based,Major Cities of Australia,-37.8083999,145.3270589," $3,481,906 "
Polish Retirement Home,3-5 Percival Street,,BAYSWATER,VIC,3153,Eastern Metro,Residential,30,,,Australian-Polish Benevolent Association of Victoria Inc,Community Based,Major Cities of Australia,-37.85012885,145.2735059," $982,992 "
Riverside Hostel,39 Latje Road,,ROBINVALE,VIC,3549,Loddon-Mallee,Residential,30,,,Robinvale District Health Services,State Government,Outer Regional Australia,-34.58255136,142.7743805," $673,519 "
Martin Luther Homes,67 Mount View Road,,THE BASIN,VIC,3154,Eastern Metro,Residential,139,,,Martin Luther Homes Boronia Inc,Religious,Major Cities of Australia,-37.860569,145.303842," $6,053,529 "
Trescowthick House Hostel,6 SCHURMANN Street,,NATIMUK,VIC,3409,Grampians,Residential,10,,,West Wimmera Health Service,State Government,Outer Regional Australia,-36.74525255,141.937601," $707,792 "
Samarinda Lodge,286 High Street,,ASHBURTON,VIC,3147,Eastern Metro,Residential,92,,,Samarinda Ashburton Aged Services Inc,Community Based,Major Cities of Australia,-37.864373,145.085815," $4,172,124 "
Estia Health Knoxfield,428 Scoresby Road,,KNOXFIELD,VIC,3180,Eastern Metro,Residential,54,,,Estia Investments Pty Ltd,Private Incorporated Body,Major Cities of Australia,-37.883195,145.257338," $3,875,259 "
Isomer Retirement Home,1273 Wellington Road,,LYSTERFIELD,VIC,3156,Eastern Metro,Residential,50,,,Islamic Society of Melbourne Eastern Regions Inc,Religious,Major Cities of Australia,-37.92861241,145.2711508," $1,676,162 "
